author_id,conversation_id,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
1458612649957208069,1554828859534544896,2022-08-03T13:57:42.000Z,1554828859534544896,,0,0,0,0,To muito feliz mano 🥰❤🖤 #Flamengo #FlamengoXCorinthians #flamengomalvadao https://t.co/zhA1zVJlX5
1218560468152995840,1554824269716107266,2022-08-03T13:39:27.000Z,1554824269716107266,,0,0,0,42,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
998224312162234368,1554821494466904065,2022-08-03T13:28:26.000Z,1554821494466904065,,0,0,0,0,"#flamengomalvadao 
Oiaaaaa ele aí @GiorgiandeA https://t.co/aGPixtKtZr"
211215631,1554662791973425152,2022-08-03T12:58:59.000Z,1554814084893347840,127852773,0,0,0,0,"@ESPNFutbolArg ¡Claro que no!
El gol fue válido.
#VamosFlamengo #Libertadores #Flamengo #flamengomalvadao #FLAxCOR"
33513024,1554811984704684033,2022-08-03T12:50:38.000Z,1554811984704684033,,0,0,0,42,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1553353612738412545,1554809022267670530,2022-08-03T12:38:52.000Z,1554809022267670530,,1,0,0,0,Cadê os flamenguista? @Flamengo #Flamenguista #flamengomalvadao
833196396383715328,1554803001910517760,2022-08-03T12:14:57.000Z,1554803001910517760,,0,0,0,1,"RT @TF_Moraes: 🎙️ Renato Rainha - rádio crack Neto.
🔴⚫ #flamengomalvadao 
#Flamengo 
#GabiGOL https://t.co/Sc46Yh5d7O"
919910131487395840,1554801977577689090,2022-08-03T12:10:52.000Z,1554801977577689090,59591856,0,0,0,0,"@Flamengo vence o Corinthians e isso faz feliz o torcedor pobre, mas também faz feliz o torcedor rico, o que aumenta a desigualdade.

Miriam Leitão

#flamengomalvadao"
3369198219,1554801412219064320,2022-08-03T12:08:38.000Z,1554801412219064320,,3,0,0,1,"🎙️ Renato Rainha - rádio crack Neto.
🔴⚫ #flamengomalvadao 
#Flamengo 
#GabiGOL https://t.co/Sc46Yh5d7O"
1520674692008497153,1554801142613385219,2022-08-03T12:07:33.000Z,1554801142613385219,,0,0,0,1,RT @velho_banzo: Meu Deus como é  bom ver o Corinthians  Jogar kkkkkkkkkkkkkkkkkkkk VAMO MENGÃO  #Libertadores2022 #FlamengoXCorinthians #F…
